producto,marca,precio_cop,descripcion,modo_de_uso
Myo-inositol y D-Chiro inositol Wholesome Story X120 Capsulas,Wholesome Story,144414,Suplemento en cápsulas con Myo-inositol y D-Chiro inositol. 120 cápsulas.,"Tomar según indicación de la etiqueta, usualmente repartido en el día."
NeoCell Polvo Bio-peptidos 20 Oz (567g),NeoCell,188505,Suplemento en polvo con Péptidos de colágeno hidrolizado. 567 g · polvo.,"Mezclar una porción (según etiqueta) en agua o bebida, 1 vez al día."
"NOW Inositol 500 mg, 100 Cap",Sin marca,47194,Suplemento en cápsulas con Inositol. 100 cápsulas · 500 mg.,1 cápsula al día con comida.
Pastilla para dormir Kirkland 25(Mg) 96Tab (Pack 2),Kirkland Signature,52940,Suplemento en tabletas con Difenhidramina HCl. 96 tabletas (pack 2) · 25 mg.,"Tomar antes de acostarse, según etiqueta."
Polvo citrato de magnesio Magicmag NaturalSlim Fresa Limon x8 onz,Natural Slim,132869,Suplemento en polvo con Citrato de magnesio. 8 oz · polvo · sabor fresa-limón.,"Disolver una porción en agua tibia, según etiqueta, preferiblemente por la noche."
"Probióticos Avanzados NewRhythm / Defensa Digestiva, 20 cepas - 50 billion X 60 cap",NewRhythm,68877,Suplemento en cápsulas con Mezcla probiótica de 20 cepas (50 mil millones UFC) y Prebióticos. 60 cápsulas · 50 mil millones UFC.,"1 cápsula al día, preferiblemente en ayunas."
Resveratrol Complex Piping Rock 180Cap (1800mg),Piping Rock,96676,Suplemento en cápsulas con Resveratrol y Complejo de extractos antioxidantes. 180 cápsulas · 1800 mg.,Tomar según indicación de la etiqueta.
"Suplemento Candida Support x 90 Cap, Now Foods",Now Foods,71291,Suplemento en cápsulas con Ácido caprílico y Extractos herbales (ver etiqueta). 90 cápsulas.,"Tomar según indicación de la etiqueta, con comidas."
Suplemento Carlyle curcumina de cúrcuma | 3000 mg 180 cápsulas,Carlyle,105175,Suplemento en cápsulas con Cúrcuma (Curcuma longa) y Pimienta negra. 180 cápsulas · 3000 mg.,"Tomar según etiqueta, con comida."
"Suplemento de Aceite de Orégano 4000 mg X 150 cáp, Carlyle",Carlyle,57204,Suplemento en cápsulas con Aceite de orégano (Origanum vulgare). 150 cápsulas · 4000 mg.,1 cápsula al día con comida.
"Suplemento de Aceite de Orégano 4000 mg X 200 cáp, Piping Rock",Piping Rock,56776,Suplemento en cápsulas con Aceite de orégano (Origanum vulgare). 200 cápsulas · 4000 mg.,1 cápsula al día con comida.
"Suplemento de curcuma, pimienta negra de 1000 mg X 180 cap, Carlyle",Carlyle,63183,Suplemento en cápsulas con Cúrcuma (Curcuma longa) y Extracto de pimienta negra (piperina). 180 cápsulas · 1000 mg.,"1 cápsula al día, preferiblemente con una comida."
"Suplemento de L-teanina 400 mg X 120 cap en polvo Sin OMG ni gluten, Horbäach",Horbäach,58822,Suplemento en cápsulas con L-teanina. 120 cápsulas · 400 mg.,1 cápsula al día.
Suplemento de melena de leones Carlyle 4200 mg  x60 unidades,Carlyle,55579,Suplemento en unidades con Melena de león (Hericium erinaceus). 60 unidades · 4200 mg.,Tomar según indicación de la etiqueta.
"Suplemento GABA (ácido gama aminobutírico) 750 mg 100 Cap, Piping Rock",Piping Rock,61118,Suplemento en cápsulas con GABA (ácido gamma-aminobutírico). 100 cápsulas · 750 mg.,"1 cápsula al día, según necesidad."
"Suplemento Glicinato de magnesio Ashwagandha  2,740 mg X 120 cáp, Carlyle",CARLYLE,61101,Suplemento en cápsulas con Glicinato de magnesio y Ashwagandha. 120 cápsulas · 2740 mg.,"Tomar según etiqueta, preferiblemente por la noche."
Suplemento Kirkland Signature CoQ10 300 mg X 100 cáp,Kirkland Signature,97088,Suplemento en cápsulas con Coenzima Q10. 100 cápsulas · 300 mg.,1 cápsula al día con una comida con grasa.
Suplemento Lactaid Fast Act X120 Capsulas,LACTAID,84921,Suplemento en cápsulas con Enzima lactasa. 120 cápsulas.,"Tomar al inicio de una comida con lácteos, según etiqueta."
"Suplemento Malato de magnesio 1800mg X 250 cáp, Horbäach",Horbäach,79720,Suplemento en cápsulas con Malato de magnesio. 250 cápsulas · 1800 mg.,"Tomar según etiqueta, con comidas."
"Suplemento Nutricional DHT X 60 tablets, Piping Rock",Piping Rock,57126,Suplemento en tabletas con Mezcla de hierbas y nutrientes (ver etiqueta). 60 tabletas.,Tomar según indicación de la etiqueta.
"Suplemento relajación NOW Gaba 500mg,100 Count",Now Foods,54504,Suplemento en cápsulas con GABA (ácido gamma-aminobutírico). 100 cápsulas · 500 mg.,1 cápsula al día.
Suplemento Spring Valley L-Lysine 1000(mg) 100 tablets,Spring Valley,33030,Suplemento en tabletas con L-Lisina. 100 tabletas · 1000 mg.,1 tableta al día.
"Suplemento Ultra Omega-3 fish oil (500 EPA / 250 DHA) X 180 cap, NOW Foods",NOW Foods,126122,Suplemento en cápsulas blandas con Aceite de pescado y EPA y DHA. 180 cápsulas blandas.,1 cápsula blanda al día con comida.
"Suplemento, extracto de arándano + vitamina C, 30,000 mg X 120 cáp, Horbäach",Horbäach,64258,Suplemento en cápsulas con Extracto de arándano rojo (cranberry) y Vitamina C. 120 cápsulas · 30 000 mg.,1 cápsula al día con agua.
"Vitamina 1000IU /45mcg, NOW Foods D3 Y K2 X 120 Cáps",NOW Foods,49057,Suplemento en cápsulas con Vitamina D3 y Vitamina K2 (MK-7). 120 cápsulas.,1 cápsula al día con comida.
"Vitamina B12 Metilcobalamina sublingual 5000 mcg X 120 tablets, Horbäach",Horbäach,58179,Suplemento en tabletas con Vitamina B12 (metilcobalamina). 120 tabletas sublinguales · 5000 mcg.,Disolver 1 tableta bajo la lengua al día.
Vitamina C Spring Valley 2000(Mg) 120 Caps,Spring Valley,56479,Suplemento en cápsulas con Vitamina C (ácido ascórbico). 120 cápsulas · 2000 mg.,1 cápsula al día con comida.
"Vitamina D3 5000 UI X 120 cap, Now Foods",Now Foods,31721,Suplemento en cápsulas con Vitamina D3 (colecalciferol). 120 cápsulas · 5000 UI.,1 cápsula al día con una comida que contenga grasa.
"Vitamina D3 Extra Strength 50 mcg (2000 UI) – 600 cáp, Kirkland Signature",Kirkland,59280,Suplemento en cápsulas con Vitamina D3 (colecalciferol) /. 600 cápsulas · 2000 UI.,1 cápsula al día con comida.
"Vitamina D3 K2 5000 iu Complejo MK-7 de 100 mcg 180 cáp, Horbäach",Horbäach,59306,Suplemento en cápsulas con Vitamina D3 y Vitamina K2 (MK-7). 180 cápsulas · 5000 UI.,1 cápsula al día con comida.
Vitaminas Vitafusion  PreNatal Gummy  90 Count,Vital Proteins,76122,"Suplemento en gomitas con Ácido fólico y DHA y Vitaminas A, C, D, E y Yodo. 90 gomitas.",2 gomitas al día.
